ISO_country,1983,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
LSO,,,,,,,,,,,,,,,,,21.0,,,,6.8,,,,,7.3,,,,,7.4,
MAR,,,,5.5,,,,,10.7,,,,,13.7,,,,,,13.3,,,,,,,,10.7,,,,
MDA,,,,,,,,,,,,,,,,,,,,,,9.1,,,,,,,4.9,,,
MDG,,,,,,,,,1.6,,,,,2.2,,,,,,,6.2,,,,,,,,,,,
MDV,,,,,,,,,,,1.2,2.2,,6.9,,,,3.9,,,,,,,,6.5,,,,,,
MEX,,,,,6.1,11.0,,,,,,,,,7.6,,,,,,,,7.6,,,,,,9.0,,,
MKD,,,,,,,,,,,,,,,,9.6,,,,,,16.2,,,,,,12.4,,,,
MLI,,,,0.5,,,,,,,,,2.3,,,,,3.1,,,,,4.7,,,,,,,,,
MMR,,,,,,,,,,,,,,9.7,,,2.4,,,2.4,,,,,,2.6,,,,,,
MNE,,,,,,,,,,,,,,,,,,,,,,15.6,,,,,,,,22.3,,
MNG,,,,,,,,,,,,,,,,7.0,12.7,,,,6.1,14.2,,,,,6.7,,,10.5,,
MOZ,,,,,,,,,,,,,,5.9,,,,,,6.3,,,,,3.6,,,7.9,,,,
MRT,,,,,,,6.8,,,,,,,,,,3.8,,,,,,,2.3,1.0,,,3.2,1.2,,,
MUS,,8.8,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,
MWI,,,,,,,,,9.9,,,,,,,,8.8,,,,10.2,,11.3,,,4.9,9.2,,,,5.1,
MYS,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,
NAM,,,,,,,,,4.5,,,,,,,,3.3,,,,,,,4.6,,,,,,4.1,,
NER,,,,,,,,,2.0,,,,,,1.1,,1.6,,,,,,3.5,,,,,,3.0,,,
NGA,,,,,,,3.2,,,5.5,,,,,,,,,,6.2,,,,13.3,10.5,,,3.0,,4.9,1.8,
NIC,,,,,,,,,,5.7,,,,,7.0,,,7.1,,,5.2,,6.2,,,,,,,,,
NPL,,,,,,,,,,,,,0.7,,0.4,,,0.7,,,,,0.6,,,,,1.5,,,2.1,
NRU,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,
OMN,,,,,,,,8.4,,,1.0,,,,,1.6,,,,,,,,,,1.7,,,,,,
