,,,"Children aged <5 years stunted (%)","Children aged <5 years stunted (%)","Children aged <5 years stunted (%)"
"Country","Year","Data Source","Both sexes","Female","Male"
"Costa Rica","1996","NLIS_311829","9.0","",""
"Costa Rica","1982","NLIS_310168","11.0","",""
"Croatia","1995-1996","NLIS_311678","1.4","",""
"Croatia","1994-1995","NLIS_311678","1.6","",""
"Croatia","1993-1994","NLIS_311678","1.3","",""
"Cuba","2000","NLIS_313029","7.0","",""
"Czech Republic","2001-2002","NLIS_312764","2.6","2.1","3.1"
"Czech Republic","1991","NLIS_311277","3.1","",""
"Democratic People's Republic of Korea","2012","NLIS_313201","27.9","25.8","29.9"
"Democratic People's Republic of Korea","2009","NLIS_313074","32.4","32.4","32.4"
"Democratic People's Republic of Korea","2004","NLIS_312962","43.1","",""
"Democratic People's Republic of Korea","2002","NLIS_312471","44.7","41.9","47.2"
"Democratic People's Republic of Korea","2000","NLIS_312345","51.0","",""
"Democratic People's Republic of Korea","1998","NLIS_311871","63.9","",""
"Democratic Republic of the Congo","2013-2014","NLIS_313236","42.6","40.2","45.0"
"Democratic Republic of the Congo","2010","NLIS_313156","43.5","39.7","47.5"
"Democratic Republic of the Congo","2007","NLIS_312888","45.8","43.3","48.5"
"Democratic Republic of the Congo","2001","NLIS_312393","44.4","41.3","47.5"
"Democratic Republic of the Congo","1995","NLIS_311558","51.0","",""
"Djibouti","2012","NLIS_313126","33.5","33.3","33.8"
"Djibouti","2006","NLIS_312950","32.6","31.0","34.0"
"Djibouti","2002","NLIS_312898","26.5","24.6","28.3"
"Djibouti","1996","NLIS_311936","31.7","",""
"Djibouti","1989","NLIS_310380","28.0","",""
"Dominican Republic","2013","NLIS_313235","7.1","6.1","8.0"
"Dominican Republic","2007","NLIS_312919","10.1","8.9","11.2"
"Dominican Republic","2006","NLIS_313079","10.5","",""
"Dominican Republic","2002","NLIS_312580","11.7","10.1","13.2"
"Dominican Republic","2000","NLIS_312356","8.0","6.5","9.4"
"Dominican Republic","1996","NLIS_311827","13.9","11.3","16.3"
"Dominican Republic","1991","NLIS_310365","21.2","18.2","23.9"
"Dominican Republic","1986","NLIS_310214","22.2","17.7","27.1"
"Ecuador","2012-2013","NLIS_313242","25.2","24.6","25.8"
"Ecuador","2004","NLIS_312782","29.0","27.3","30.5"
"Ecuador","1998","NLIS_312298","32.5","",""
"Ecuador","1986","NLIS_310197","40.2","",""
"Egypt","2014","NLIS_313266","22.3","","23.6"
"Egypt","2008","NLIS_312925","30.7","28.4","33.0"
"Egypt","2005","NLIS_312758","23.8","22.2","25.4"
"Egypt","2003","NLIS_312627","20.3","18.0","22.4"
"Egypt","2000","NLIS_312221","24.6","22.6","26.6"
"Egypt","1998","NLIS_312109","26.3","",""
"Egypt","1997-1998","NLIS_311895","30.9","",""
"Egypt","1995-1996","NLIS_311665","34.9","33.4","36.4"
"Egypt","1992-1993","NLIS_311408","31.3","30.7","31.8"
"Egypt","1991","NLIS_310442","34.9","34.1","35.7"
"Egypt","1988","NLIS_310272","36.6","36.1","37.0"
"Egypt","1978","NLIS_310236","43.8","",""
"El Salvador","2014","NLIS_313287","14.0","",""
"El Salvador","2008","NLIS_313070","20.6","19.8","21.3"
"El Salvador","2002-2003","NLIS_312516","24.6","23.5","25.6"
"El Salvador","1998","NLIS_312101","32.3","31.1","33.4"
"El Salvador","1993","NLIS_311293","29.5","28.7","30.3"
"El Salvador","1988","NLIS_311056","36.7","33.8","39.5"
"El Salvador","1975","NLIS_310169","56.2","",""
"Equatorial Guinea","2010","NLIS_313199","26.2","22.2","30.3"
"Equatorial Guinea","2004","NLIS_312850","35.0","33.8","36.0"
"Equatorial Guinea","2000","NLIS_312757","42.6","39.2","46.0"
"Equatorial Guinea","1997","NLIS_312981","38.7","34.3","43.0"
"Eritrea","2010","NLIS_313226","50.3","49.6","51.2"
"Eritrea","2002","NLIS_312494","43.7","41.8","45.4"
"Eritrea","1995-1996","NLIS_311711","44.4","45.4","43.5"
"Eritrea","1993","NLIS_311627","69.6","",""
"Ethiopia","2014","NLIS_313225","40.4","39.7","41.0"
"Ethiopia","2010-2011","NLIS_313116","44.2","42.2","46.1"
"Ethiopia","2005","NLIS_312762","50.7","49.6","51.8"
"Ethiopia","2000","NLIS_312220","57.4","56.0","58.9"
"Ethiopia","1992","NLIS_310533","68.1","",""
"Fiji","2004","NLIS_313153","7.5","6.9","8.0"
"Fiji","1993","NLIS_311513","4.3","",""
"Gabon","2012","NLIS_313162","17.5","15.1","19.8"
"Gabon","2000-2001","NLIS_312278","26.3","23.6","29.0"
"Gambia","2013","NLIS_313275","25.0","23.8","26.2"
"Gambia","2010","NLIS_313214","23.4","21.3","25.4"
"Gambia","2005-2006","NLIS_312861","27.6","26.6","28.6"
"Gambia","2000","NLIS_312328","24.1","22.1","25.9"
"Gambia","1996","NLIS_311787","36.1","",""
"Georgia","2009","NLIS_313082","11.3","10.2","12.3"
"Georgia","2005","NLIS_312889","14.7","13.5","15.8"
"Georgia","1999","NLIS_312073","16.1","",""
"Germany","2003-2006","NLIS_312939","1.3","1.2","1.5"
"Ghana","2014","NLIS_313248","18.8","",""
"Ghana","2011","NLIS_313215","22.7","20.3","25.3"
"Ghana","2008","NLIS_312963","28.6","26.7","30.5"
"Ghana","2006","NLIS_312883","28.1","26.2","29.8"
"Ghana","2003","NLIS_312628","35.6","32.7","38.5"
"Ghana","1998-1999","NLIS_311995","31.3","28.3","34.4"
"Ghana","1993-1994","NLIS_311422","33.5","29.7","37.2"
"Ghana","1988","NLIS_310426","34.7","32.9","36.5"
"Ghana","1987-1988","NLIS_310051","36.7","",""
"Greece","2003-2004","NLIS_312727","1.5","1.9","1.0"
"Guatemala","2014-2015","NLIS_313278","46.5","45.8","47.1"
"Guatemala","2008-2009","NLIS_312917","48.0","47.3","48.7"
"Guatemala","2002","NLIS_312558","54.3","54.1","54.5"
"Guatemala","2000","NLIS_312562","50.0","",""
"Guatemala","1998-1999","NLIS_312082","53.1","51.5","54.6"
"Guatemala","1995","NLIS_311672","55.4","54.0","56.8"
"Guatemala","1987","NLIS_310427","62.1","60.1","64.2"
"Guinea","2012","NLIS_313194","31.3","30.0","32.4"
"Guinea","2011-2012","NLIS_313160","35.8","33.8","37.7"
"Guinea","2007-2008","NLIS_312954","40.0","38.5","41.5"
"Guinea","2005","NLIS_312759","39.3","36.7","42.0"
"Guinea","2000","NLIS_312264","46.9","",""
"Guinea","1999","NLIS_312138","34.3","32.2","36.3"
"Guinea","1994-1995","NLIS_312008","35.3","",""
"Guinea-Bissau","2014","NLIS_313257","27.6","",""
"Guinea-Bissau","2010","NLIS_313216","32.2","29.9","34.4"
"Guinea-Bissau","2008","NLIS_312955","27.7","26.1","29.3"
"Guinea-Bissau","2006","NLIS_312884","47.7","47.0","48.5"
"Guinea-Bissau","2000","NLIS_312358","36.1","34.5","37.8"
"Guyana","2014","NLIS_313258","12.0","",""
"Guyana","2009","NLIS_313119","19.5","18.6","20.5"
"Guyana","2006-2007","NLIS_312887","18.2","17.4","18.8"
"Guyana","2000","NLIS_312624","13.8","12.6","14.9"
"Guyana","1997","NLIS_312231","14.0","",""
"Guyana","1981","NLIS_310229","26.4","",""
"Guyana","1971","NLIS_310150","29.6","",""
"Haiti","2012","NLIS_313163","21.9","20.3","23.4"
"Haiti","2005-2006","NLIS_312792","29.7","26.5","33.2"
"Haiti","2000","NLIS_312276","28.3","25.7","30.9"
"Haiti","1994-1995","NLIS_311547","37.2","36.6","37.9"
"Haiti","1990","NLIS_311544","40.1","",""
"Haiti","1978","NLIS_310151","45.7","",""
"Honduras","2011-2012","NLIS_313165","22.7","20.9","24.4"
"Honduras","2005-2006","NLIS_312770","29.9","28.3","31.5"
"Honduras","2001","NLIS_312365","34.5","32.6","36.2"
"Honduras","1996","NLIS_311917","43.3","43.7","42.9"
"Honduras","1993-1994","NLIS_311614","45.7","",""
"Honduras","1991-1992","NLIS_311325","42.5","",""
"Honduras","1987","NLIS_310457","43.3","",""
"Hungary","1980-1988","NLIS_311509","3.3","2.4","4.1"
"India","2005-2006","NLIS_312799","47.9","48.0","47.9"
"India","1998-1999","NLIS_312180","51.0","50.9","51.2"
"India","1996-1997","NLIS_311923","48.5","",""
"India","1992-1993","NLIS_311549","57.1","55.7","58.5"
"India","1991-1992","NLIS_310387","65.4","",""
"India","1988-1990","NLIS_310405","66.2","",""
"India","1974-1979","NLIS_310396","75.1","",""
"Indonesia","2013","NLIS_313200","36.4","35.5","37.2"
"Indonesia","2010","NLIS_313124","39.2","37.6","40.8"
"Indonesia","2007","NLIS_312916","40.1","38.8","41.3"
"Indonesia","2004","NLIS_312797","28.6","27.4","29.8"
"Indonesia","2001","NLIS_312794","41.6","40.0","43.2"
"Indonesia","2000","NLIS_312794","42.4","41.0","43.7"
"Indonesia","1995","NLIS_311745","48.1","",""
"Iran (Islamic Republic of)","2004","NLIS_313120","7.1","",""
"Iran (Islamic Republic of)","1998","NLIS_312079","20.4","",""
"Iran (Islamic Republic of)","1995","NLIS_311507","24.4","",""
"Iraq","2011","NLIS_313217","22.6","21.7","23.5"
"Iraq","2006","NLIS_312825","27.5","26.2","28.7"
"Iraq","2004","NLIS_313091","20.0","",""
"Iraq","2003","NLIS_313090","33.7","",""
"Iraq","2000","NLIS_312414","28.3","27.6","28.9"
"Iraq","1991","NLIS_310456","27.6","",""
"Italy","1975-1977","NLIS_310274","4.3","",""
"Jamaica","2012","NLIS_313273","5.7","5.8","5.6"
"Jamaica","2010","NLIS_313129","4.8","3.7","6.0"
"Jamaica","2008","NLIS_313142","5.2","3.5","6.9"
"Jamaica","2007","NLIS_312910","3.8","4.1","3.5"
"Jamaica","2006","NLIS_312909","5.6","5.2","6.0"
"Jamaica","2004","NLIS_312776","4.5","3.5","5.7"
"Jamaica","2002","NLIS_312775","6.6","6.0","7.2"
"Jamaica","2001","NLIS_312774","6.4","3.8","8.9"
"Jamaica","2000","NLIS_312773","6.6","3.3","9.4"
"Jamaica","1999","NLIS_312364","6.3","5.0","7.5"
"Jamaica","1998","NLIS_312317","8.3","7.0","9.6"
"Jamaica","1997","NLIS_312047","8.6","6.6","10.7"
"Jamaica","1996","NLIS_312046","11.1","8.3","13.7"
"Jamaica","1995","NLIS_312045","9.5","6.7","12.2"
"Jamaica","1994","NLIS_311604","11.9","10.0","13.6"
"Jamaica","1993","NLIS_311587","13.5","",""
"Jamaica","1992","NLIS_311586","14.7","",""
"Jamaica","1991","NLIS_311585","9.1","",""
"Jamaica","1989","NLIS_310422","12.4","",""
"Jamaica","1978","NLIS_310212","16.6","",""
"Japan","2010","NLIS_313268","7.1","6.5","7.6"
"Japan","1978-1981","NLIS_310325","8.3","",""
"Jordan","2012","NLIS_313168","7.8","6.2","9.3"
"Jordan","2009","NLIS_313042","8.3","8.7","7.9"
"Jordan","2002","NLIS_312522","12.0","12.1","11.9"
"Jordan","1997","NLIS_311927","11.1","10.4","11.9"
"Jordan","1990","NLIS_310364","20.5","18.9","22.0"
"Kazakhstan","2010-2011","NLIS_313159","13.1","13.0","13.2"
"Kazakhstan","2006","NLIS_312860","17.5","16.9","17.9"
"Kazakhstan","1999","NLIS_312181","13.9","13.5","14.4"
"Kazakhstan","1995","NLIS_311674","19.0","15.4","23.2"
"Kenya","2014","NLIS_313250","26.0","",""
"Kenya","2008-2009","NLIS_313020","35.2","33.1","37.3"
"Kenya","2005-2006","NLIS_313101","40.9","",""
"Kenya","2003","NLIS_312590","35.8","32.1","39.4"
"Kenya","2000","NLIS_312568","41.0","37.4","44.6"
"Kenya","1998","NLIS_311993","37.0","32.7","41.2"
"Kenya","1994","NLIS_311571","39.8","",""
"Kenya","1993","NLIS_311002","40.2","36.7","43.8"
"Kenya","1985-1989","NLIS_310438","38.4","",""
"Kenya","1982","NLIS_310061","44.3","",""
"Kenya","1978-1979","NLIS_310060","41.6","",""
"Kiribati","1985","NLIS_310973","34.4","",""
"Kuwait","2014","NLIS_313254","5.8","4.5","7.3"
"Kuwait","2013","NLIS_313254","4.8","4.6","5.1"
"Kuwait","2012","NLIS_313144","4.3","4.4","4.1"
"Kuwait","2011","NLIS_313144","4.0","3.7","4.4"
"Kuwait","2010","NLIS_313144","4.1","3.6","4.5"
"Kuwait","2009","NLIS_313048","3.8","3.4","4.2"
